,question
1060,Learn Morse code
1061,Watch a classic movie
1062,Volunteer and help out at a senior center
1063,Shop at support your local farmers market
1064,Listen to your favorite album
1065,Play a game of Monopoly
1066,Think of a new business idea
1067,Memorize a favorite quote or poem
1068,Watch a Khan Academy lecture on a subject of your choosing
1069,Sit in the dark and listen to your favorite music with no distractions
1070,Match your storage containers with their lids
1071,Do a jigsaw puzzle
1072,Learn the NATO phonetic alphabet
1073,Give your pet ten minutes of focused attention
1074,Write a list of things you are grateful for
1075,Do something you used to do as a kid
1076,Shred old documents you don't need anymore
1077,Learn how to use an Arduino
1078,Go to a concert with some friends
1079,Go on a fishing trip with some friends
1080,Compliment someone
1081,Play a game of tennis with a friend
1082,Listen to your favorite album
1083,Memorize the fifty states and their capitals
1084,Pull a harmless prank on one of your friends
1085,Watch a classic movie
1086,Look at your finances and find one way to save money
1087,Think of a new business idea
1088,Write a handwritten letter to somebody
1089,Think of a new business idea
1090,Catch up with a friend over a lunch date
1091,Visit a nearby museum
1092,Learn how to fold a paper crane
1093,Learn a new recipe
1094,Create a compost pile
1095,Draft your living will
1096,Learn the Chinese erhu
1097,Conquer one of your fears
1098,Learn to write with your nondominant hand
1099,Give your pet ten minutes of focused attention
1100,Fix something that's broken in your house
1101,Do something you used to do as a kid
1102,Wash your car
1103,Start a book you've never gotten around to reading
1104,Do something you used to do as a kid
1105,Listen to your favorite album
1106,Listen to a new music genre
1107,Pick up litter around your favorite park
1108,Cook something together with someone
1109,Learn Morse code
1110,Create a meal plan for the coming week
1111,Start a daily journal
1112,Learn how to beatbox
1113,Play a game of tennis with a friend
1114,Make bread from scratch
1115,Shred old documents you don't need anymore
1116,Go to a local thrift shop
1117,Have a picnic with some friends
1118,Start a collection
1119,Volunteer at your local food pantry
1120,Learn the Chinese erhu
1121,Catch up with a friend over a lunch date
1122,Learn how the internet works
1123,Organize your dresser
1124,Find a charity and donate to it
1125,Memorize the fifty states and their capitals
1126,Try a food you don't like
1127,Learn and play a new card game
1128,Learn to greet someone in a new language
1129,Organize a bookshelf
1130,Go on a long drive with no music
1131,Plan a trip to another country
1132,Start a blog for something you're passionate about
1133,Give your pet ten minutes of focused attention
1134,Go to a concert with local artists with some friends
1135,Take a spontaneous road trip with some friends
1136,Learn how to make a website
1137,Organize your movie collection
1138,Memorize the fifty states and their capitals
1139,Listen to your favorite album
1140,Give your pet ten minutes of focused attention
1141,Explore a park you have never been to before
1142,Play a video game
1143,Volunteer and help out at a senior center
1144,Volunteer at a local animal shelter
1145,Write a poem
1146,Prepare a 72-hour kit
1147,Buy a new house decoration
1148,Make a couch fort
1149,Draw and color a Mandala
1150,Clean out your closet and donate the clothes you've outgrown
1151,Back up important computer files
1152,Patronize a local independent restaurant
1153,Learn how to write in shorthand
1154,Do a jigsaw puzzle
1155,Go to a nail salon
1156,Pot some plants and put them around your house
1157,Write a list of things you are grateful for
1158,Learn how to use a french press
1159,Buy a new house decoration
1160,Create a meal plan for the coming week
1161,Shred old documents you don't need anymore
1162,Explore the nightlife of your city
1163,Have a photo session with some friends
1164,Write a song
1165,Donate to your local food bank
1166,Memorize the fifty states and their capitals
1167,Write a handwritten letter to somebody
1168,Take a hike at a local park
1169,Solve a Rubik's cube
1170,Take your dog on a walk
1171,Patronize a local independent restaurant
1172,Go see a Broadway production
1173,Compliment someone
1174,Go for a run
1175,Create and follow a savings plan
1176,Organize a cluttered drawer
1177,Make a simple musical instrument
1178,Clean out your closet and donate the clothes you've outgrown
1179,Go on a fishing trip with some friends
1180,Meditate for five minutes
1181,Give your pet ten minutes of focused attention
1182,Learn origami
1183,Go to a concert with local artists with some friends
1184,Uninstall unused apps from your devices
1185,Learn to greet someone in a new language
1186,Organize your dresser
1187,Go swimming with a friend
1188,Have a photo session with some friends
1189,Listen to a new music genre
1190,Take your dog on a walk
1191,Read a formal research paper on an interesting subject
1192,Have a football scrimmage with some friends
1193,Write a song
1194,Compliment someone
1195,Buy a new house decoration
1196,Listen to a new music genre
1197,Give your pet ten minutes of focused attention
1198,Learn Kotlin
1199,Visit a nearby museum
1200,Go to an escape room
1201,Create a meal plan for the coming week
1202,Go to a local thrift shop
1203,Volunteer at a local animal shelter
1204,Clean out your garage
1205,Bake a pie with some friends
1206,Start a collection
1207,Clean out your car
1208,Learn the Chinese erhu
1209,Play a video game
1210,Have a football scrimmage with some friends
1211,Prepare a 72-hour kit
1212,Host a movie marathon with some friends
1213,Pot some plants and put them around your house
1214,Learn how to make an Alexa skill
1215,Pot some plants and put them around your house
1216,Learn to write with your nondominant hand
1217,Binge watch a trending series
1218,Have a football scrimmage with some friends
1219,Learn origami
1220,Make a scrapbook with pictures of your favorite memories
1221,Visit your past teachers
1222,Shop at support your local farmers market
1223,Make bread from scratch
1224,Take your cat on a walk
1225,Learn a new programming language
1226,Learn origami
1227,Volunteer at your local food pantry
1228,Volunteer at a local animal shelter
1229,Volunteer at a local animal shelter
1230,Learn a new recipe
1231,Pick up litter around your favorite park
1232,Make tie dye shirts
1233,Go to a concert with local artists with some friends
1234,Make bread from scratch
1235,Go to a nail salon
1236,Uninstall unused apps from your devices
1237,Watch the sunset or the sunrise
1238,Prepare a dish from a foreign culture
1239,Start a garden
